"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"util"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-05-07 06:14:12 IST"	"2015-05-07 06:14:12 IST"	"1524643"	"5031813"	"e2be8944ce24abb4c0ed6858eb8d6157"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/All Users/util"
"util-slack"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-05-07 06:14:12 IST"	"2015-05-07 06:14:12 IST"	"3165"	"5031813"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/All Users/util-slack"
"$I30"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2009-07-14 03:12:14 IST"	"8192"	"5031941"	"0b5655521cf713b2f93e551a11d9f789"	"unknown"	"r--x--x--x"	"/img_drive9.E01/Users/Default/$I30"
"NTUSER.DAT"	".DAT"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2014-02-27 01:31:28 IST"	"262144"	"5031942"	"8b6a8496da907bd6ee72308b7d51fe5e"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT"
"NTUSER.DAT.LOG"	".LOG"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2009-07-14 03:52:04 IST"	"1024"	"5031945"	"dc940236963d0d2eb578db36386f4f0b"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT.LOG"
"NTUSER.DAT.LOG-slack"	".LOG-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2009-07-14 03:52:04 IST"	"3072"	"5031945"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT.LOG-slack"
"NTUSER.DAT.LOG1"	".LOG1"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2014-02-27 01:31:28 IST"	"189440"	"5031948"	"d3210687e241d7212d9bb268640f265f"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT.LOG1"
"NTUSER.DAT.LOG1-slack"	".LOG1-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2014-02-27 01:31:28 IST"	"3072"	"5031948"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT.LOG1-slack"
"NTUSER.DAT.LOG2"	".LOG2"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2009-07-13 22:34:08 IST"	"0"	"5031951"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT.LOG2"
"NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf"	".blf"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2009-07-14 00:45:54 IST"	"65536"	"5031957"	"191b39834a2902046702bba588747512"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf"
"NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms"	".regtrans-ms"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:50 IST"	"2009-07-14 00:45:54 IST"	"524288"	"5031966"	"915ed4cd88ac055c422672041f4fd9d1"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000001.regtrans-ms"
"NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms"	".regtrans-ms"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:45:54 IST"	"524288"	"5031975"	"59071590099d21dd439896592338bf95"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms"
"$I30"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 01:08:56 IST"	"4096"	"5081605"	"e972194db4e09ba8e00b3eab709e824b"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Local/$I30"
"$I30"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"4096"	"5083525"	"c94642c4c133b9346740cd6fa1a063c5"	"unknown"	"r-wx-wx-wx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/$I30"
"desktop.ini"	".ini"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"146"	"5083526"	"926b5fffe90d05bd50f0ff7d52303218"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/desktop.ini"
"desktop.ini-slack"	".ini-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"3950"	"5083526"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/desktop.ini-slack"
"Shows Desktop.lnk"	".lnk"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"290"	"5083529"	"9a79c9e1ad63ed2e7932536570775b9f"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/Shows Desktop.lnk"
"Shows Desktop.lnk-slack"	".lnk-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"3806"	"5083529"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/Shows Desktop.lnk-slack"
"Window Switcher.lnk"	".lnk"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"272"	"5083532"	"e14f6ef5e8dc4c628fe28ac893e9309d"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/Window Switcher.lnk"
"Window Switcher.lnk-slack"	".lnk-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:49:38 IST"	"3824"	"5083532"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Internet Explorer/Quick Launch/Window Switcher.lnk-slack"
"$I30"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-13 23:20:08 IST"	"4096"	"5084165"	"a9794dc4d2c3bbf3048032dba484d2db"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/$I30"
"$I30"	""	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-07-14 00:55:00 IST"	"4096"	"5084933"	"cc7ed002c9a341652cb0a195f05b50f4"	"unknown"	"r-wx-wx-wx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/$I30"
"Compressed (zipped) Folder.ZFSendToTarget"	".ZFSendToTarget"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-06-10 16:45:28 IST"	"3"	"5084938"	"963ab0bbea32f1f9d19afb00d08be14d"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Compressed (zipped) Folder.ZFSendToTarget"
"Compressed (zipped) Folder.ZFSendToTarget-slack"	".ZFSendToTarget-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-06-10 16:45:28 IST"	"4093"	"5084938"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Compressed (zipped) Folder.ZFSendToTarget-slack"
"Desktop (create shortcut).DeskLink"	".DeskLink"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-06-10 16:44:22 IST"	"7"	"5084942"	"b2c79ad7dcf03ba266dc0885e1266675"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Desktop (create shortcut).DeskLink"
"Desktop (create shortcut).DeskLink-slack"	".DeskLink-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:51 IST"	"2009-06-10 16:44:22 IST"	"4089"	"5084942"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Desktop (create shortcut).DeskLink-slack"
"Desktop.ini"	".ini"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:52 IST"	"2009-07-14 00:55:00 IST"	"558"	"5084944"	"10702225fd4f79c780cf4cdc815ee757"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Desktop.ini"
"Desktop.ini-slack"	".ini-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:52 IST"	"2009-07-14 00:55:00 IST"	"3538"	"5084944"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Desktop.ini-slack"
"Fax Recipient.lnk"	".lnk"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:52 IST"	"2009-07-14 00:55:00 IST"	"1238"	"5084947"	"b8729d4521304a80c9f51e498c6f859a"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Fax Recipient.lnk"
"Fax Recipient.lnk-slack"	".lnk-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:52 IST"	"2009-07-14 00:55:00 IST"	"2858"	"5084947"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Fax Recipient.lnk-slack"
"Mail Recipient.MAPIMail"	".MAPIMail"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:52 IST"	"2009-06-10 16:44:22 IST"	"4"	"5084950"	"4dfbb099eafd3c82e033bf92946d3ce6"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Mail Recipient.MAPIMail"
"Mail Recipient.MAPIMail-slack"	".MAPIMail-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:52 IST"	"2009-06-10 16:44:22 IST"	"4092"	"5084950"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Default/AppData/Roaming/Microsoft/Windows/SendTo/Mail Recipient.MAPIMail-slack"
